team_id,team_name,team_url
1,The Bear Jew,https://baseball.fantasysports.yahoo.com/b1/35457/1
2,Avners iballers,https://baseball.fantasysports.yahoo.com/b1/35457/2
3,Ender Wiggins,https://baseball.fantasysports.yahoo.com/b1/35457/3
4,For Me to Poop On,https://baseball.fantasysports.yahoo.com/b1/35457/4
5,Salad Dodgers,https://baseball.fantasysports.yahoo.com/b1/35457/5
6,Irkutsk Icepops,https://baseball.fantasysports.yahoo.com/b1/35457/6
7,Miracle Max's MLTs,https://baseball.fantasysports.yahoo.com/b1/35457/7
8,Nish's Rec League Team,https://baseball.fantasysports.yahoo.com/b1/35457/8
9,Pez,https://baseball.fantasysports.yahoo.com/b1/35457/9
10,Rebuilding Year v16.1,https://baseball.fantasysports.yahoo.com/b1/35457/10
11,Rolo Tomasi,https://baseball.fantasysports.yahoo.com/b1/35457/11
12,VerRosenbergs,https://baseball.fantasysports.yahoo.com/b1/35457/12
13,Yokozuna’s Bogus Journey,https://baseball.fantasysports.yahoo.com/b1/35457/13
14,You Give Suck a Bad Name,https://baseball.fantasysports.yahoo.com/b1/35457/14
